dimemployee_fullname,dimemployee_firstname,finishedgoodsflag,dimreseller_ordermonth,factsales_freight,factsales_currencykey,dimdate_monthnumberofyear,productalternatekey,dimreseller_lastorderyear,dimgeography_city,dimsalesterritory_salesterritorykey,dimdate_monthname,dimreseller_yearopened,factsales_orderquantity,productsubcategoryname,dimemployee_gender,productsubcategoryalternatekey,dimdate_fiscalyear,dimemployee_salariedflag,factsales_extendedamount,factsales_ordertime,factsales_productstandardcost,dimreseller_businesstype,factsales_salesorderlinenumber,startdate,dimreseller_resellername_it,dimdate_daynumberofweek,dimgeography_latlong,factsales_productkey,enddate,productsubcategorykey,factsales_unitprice,dimdate_daynumberofyear,dimdate_calendaryear,dimemployee_title,sizeunitmeasurecode,dimreseller_resellerkey,surveyresponse,dimgeography_stateprovincename,dimreseller_addresslineone,dimgeography_countryregionname,dimemployee_maritalstatus,productline,dimemployee_status,dimdate_fulldatealternatekey,dimdate_fiscalsemester,dimreseller_bankname_it,dimgeography_stateprovincecode,productname_es,dimreseller_resellername,dimemployee_birthdate,dimdate_daynumberofmonth,dimemployee_phone,dimgeography_countryregioncode,dimgeography_latlong_geo_subregion,listprice,reorderpoint,dimgeography_latlong_geo_country,dimemployee_employeekey,dimemployee_lastname,productcategoryname,dimdate_fiscalquarter,dimemployee_employeenationalidalternatekey,dimgeography_latlong_geo_postcode,dimreseller_annualsales,dimreseller_minpaymentamount,factsales_salesamount,factsales_salesterritorykey,factsales_taxamt,dimdate_calendarquarter,safetystocklevel,daystomanufacture,dimgeography_latlong_geo_subregionid,factsales_totalproductcost,dimreseller_geographykey,description,dimemployee_emailaddress,dimemployee_salespersonflag,dimemployee_salesterritorykey,factsales_discountamount,dimreseller_productline,dimsalesterritory_salesterritorycountry,dimreseller_addresslinetwo,dimdate_weeknumberofyear,dimreseller_phone,factsales_shipdatekey,factsales_recordspec,factsales_employeekey,dimgeography_latlong_geo_city,d,status,class,dealerprice,factsales_salesordernumber,productname_zh_tw,size,dimsalesterritory_salesterritoryregion,dimreseller_bankname_de,dimreseller_bankname_zh_cn,factsales_carriertrackingnumber,standardcost,dimdate_daynameofweek,dimreseller_minpaymenttype,productcategorykey,productcategoryalternatekey,dimreseller_annualrevenue,factsales_revisionnumber,factsales_orderdatekey,modelname,weight,dimgeography_salesterritorykey,dimsalesterritory_salesterritorygroup,factsales_resellerkey,factsales_shiptime,dimemployee_baserate,factsales_unitpricediscountpct,factsales_duedatekey,factsales_orderduration_duration,style,dimreseller_orderfrequency,dimreseller_firstorderyear,dimemployee_startdate,dimemployee_currentflag,dimgeography_latlong_geo_region,dimgeography_latlong_geo_regionid,productname_it,dimdate_calendarsemester,dimemployee_departmentname,productname,factsales_promotionkey,dimreseller_numberemployees,weightunitmeasurecode,dimgeography_postalcode,factsales_customerponumer,sizerange,dimemployee_hiredate,dimreseller_bankname,dimgeography_geographykey,dimemployee_middlename,color,dimreseller_reselleralternatekey,productcategory,dimdate_datekey
Linda C Mitchell,Linda,,4,2.884,100,1,LJ-0192-X,2008,Longmont,3,January,1974,4,Jerseys,F,21,2007,1,115.3616,00:18:09.000Z,29.0807,Warehouse,24,,Distributori Sport Futuristico,2,40.171484 -105.10033,236,,21,28.8404,1,2007,Sales Representative,,523,,Colorado,5525 South Hover Road,United States,M,,Current,00:00.,2,Primaria Banca e Riserva [it],CO,Largo-Manga Logo Jersey [es],Futuristic Sport Distributors,00:00.,1,883-555-0116,US,Boulder County,,,US,282,Mitchell,Clothing,Q3,191644724,80501,3000000,,115.3616,3,9.2289,1,,,5574999,116.3228,389,,linda3@adventur,1,4,0,Road,United States,,1,149-555-0196,02:35.,SO48791-24,282,Longmont,dimreseller_businesstype_ja,,,,SO48791,productname_zh_tw,,Central,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,9EBF-4C7E-82,,Monday,1,3,3,300000,1,18:09.,,,3,North America,523,13:02:35.000Z,23.0769,0,00:00.,564266000,,Q,2006,00:00.,1,Colorado,5417618,Manica Lunga Logo Maglietta [it],1,Sales,Long-Sleeve Logo Jersey,1,94,,80501,PO8787123349,,00:00.,Primary Bank & Reserve,389,C,,AW00000523,21,00:00.
Jos Edvaldo Saraiva,Jos,,5,35.2346,98,8,BK-R50B-60,2008,Bracknell,10,August,2000,3,Road Bikes,M,2,2007,1,1409.382,05:17:33.000Z,486.7066,Value Added Reseller,10,,Bike Shop Estremo,3,,335,,2,469.794,213,2006,Sales Representative,CM ,430,,England,Ellesfield Ave,United Kingdom,M,,Current,00:00.,1,Primaria Internazionale [it],ENG,Carretera-650 Negro [es],Uttermost Bike Shop,00:00.,1,185-555-0169,GB,,,,,288,Saraiva,Bikes,Q1,399771412,,800000,,1409.382,10,112.7506,3,,,,1460.1198,233,,jos?adventure,1,6,0,Road,United Kingdom,,31,1 (11) 500 555-0118,34:35.,SO47009-10,288,,dimreseller_businesstype_ja,,,,SO47009,productname_zh_tw,,United Kingdom,Prim?r International [de],dimreseller_bankname_zh_cn,8F7C-4372-A2,,Tuesday,,1,1,80000,1,17:33.,,,10,Europe,430,15:34:35.000Z,23.0769,0,00:00.,555422000,,S,2006,00:00.,1,,,Montagna-100 Argento [it],2,Sales,Road-650 Black,1,19,LB ,RG12 8TB,PO1508115971,,00:00.,Primary International,233,Edvaldo,,AW00000430,2,00:00.
Tete A Mensa-Annan,Tete,,5,82.214,100,5,BK-R50R-48,2008,Ellensburg,1,May,2000,7,Road Bikes,M,2,2007,1,3288.558,14:41:26.000Z,486.7066,Value Added Reseller,37,,Mail-Order uscita,3,47.009726 -120.52364,329,,2,469.794,121,2007,Sales Representative,CM ,343,,Washington,409 S. Main Ste. 25,United States,M,,Current,00:00.,2,Riserva di Sicurezza [it],WA,Carretera-650 Rojo [es],Mail-Order Outlet,00:00.,1,615-555-0153,US,Kittitas County,,,US,293,Mensa-Annan,Bikes,Q4,90836195,98926,800000,,3288.558,1,263.0846,2,,,5799889,3406.9462,615,,tete0@adventure,1,1,0,Road,United States,,18,490-555-0132,53:55.,SO50297-37,293,Ellensburg,dimreseller_businesstype_ja,,,,SO50297,productname_zh_tw,,Northwest,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,5199-40AD-90,,Tuesday,1,1,1,80000,1,41:26.,,,1,North America,343,11:53:55.000Z,23.0769,0,00:00.,594749000,,S,2006,00:00.,1,Washington,5815135,Strada-650 Rosso [it],1,Sales,Road-650 Red,1,17,LB ,98926,PO4727113542,,00:00.,Reserve Security,615,A,,AW00000343,2,00:00.
Garrett R Vargas,Garrett,TRUE,6,1.2147,19,9,HB-M243,2007,Burnaby,6,September,1988,2,Handlebars,M,4,2007,1,48.589,01:19:10.000Z,17.978,Value Added Reseller,29,7/1/2006 0:00,Ciclo Magazzino Generale,6,,397,6/30/2007 0:00,4,24.2945,244,2006,Sales Representative,,588,,British Columbia,"30025 Wayburne Drive, Suite 275",Canada,M,M ,Current,00:00.,1,Riserva di Sicurezza [it],BC,,General Cycle Storehouse,00:00.,1,922-555-0165,CA,,40.4909,375,,284,Vargas,Components,Q1,234474252,,800000,,48.589,6,3.8871,3,500,1,,35.956,47,All-purpose bar for on or off-road.,garrett1@advent,1,6,0,Mountain,Canada,,36,127-555-0124,31:02.,SO47413-29,284,,dimreseller_businesstype_ja,,L ,24.2945,SO47413,productname_zh_tw,,Canada,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,E274-4280-9B,17.978,Friday,,2,2,80000,1,19:10.,LL Mountain Handlebars,,6,North America,588,12:31:02.000Z,23.0769,0,00:00.,558712000,,S,2005,00:00.,1,,,,2,Sales,LL Mountain Handlebars,1,12,,V5G 4W1,PO1885161774,NA,00:00.,Reserve Security,47,R,NA,AW00000588,4,00:00.
Tete A Mensa-Annan,Tete,,5,1.3499,100,11,SB-M891-S,2007,Redmond,1,November,1999,1,Bib-Shorts,M,18,2007,1,53.994,23:32:14.000Z,37.1209,Warehouse,21,,Fronte Sporting Goods,4,47.677471 -122.12138,459,,18,53.994,305,2006,Sales Representative,,127,,Washington,257700 Ne 76th Street,United States,M,,Current,00:00.,1,Bancario Internazionale [it],WA,Mitad-Dedo Guantes [es],Front Sporting Goods,00:00.,1,615-555-0153,US,King County,,,US,293,Mensa-Annan,Clothing,Q2,90836195,98052,3000000,,53.994,1,4.3195,4,,,5799783,37.1209,634,,tete0@adventure,1,1,0,Mountain,United States,,44,119-555-0195,01:16.,SO48001-21,293,Redmond,dimreseller_businesstype_ja,,,,SO48001,productname_zh_tw,,Northwest,International Bank [de],dimreseller_bankname_zh_cn,02F1-4434-99,,Wednesday,1,3,3,300000,1,32:14.,,,1,North America,127,19:01:16.000Z,23.0769,0,00:00.,588542000,,Q,2006,00:00.,1,Washington,5815135,Met??-Dito Guanti [it],2,Sales,Men's Bib-Shorts,1,55,,98052,PO14442151969,,00:00.,International Bank,634,A,,AW00000127,18,00:00.
Linda C Mitchell,Linda,,5,50.6249,100,5,BK-M82B-38,2008,Baldwin Park,4,May,1988,1,Mountain Bikes,F,1,2006,1,2024.994,12:52:06.000Z,1898.0944,Specialty Bike Shop,1,,Di base Sports Equipment,2,34.087108 -117.96966,348,,1,2024.994,121,2006,Sales Representative,CM ,492,,California,3250 Baldwin Park Blvd,United States,M,,Current,00:00.,2,Sicurezza Internazionale [it],CA,Monta?a-200 Plata [es],Basic Sports Equipment,00:00.,1,883-555-0116,US,Los Angeles County,,,US,282,Mitchell,Bikes,Q4,191644724,91706,1500000,600,2024.994,4,161.9995,2,,,5368381,1898.0944,295,,linda3@adventur,1,4,0,Mountain,United States,,18,768-555-0125,31:13.,SO46069-1,282,Baldwin Park,dimreseller_businesstype_ja,,,,SO46069,productname_zh_tw,,Southwest,International Sicherheit [de],dimreseller_bankname_zh_cn,29F6-4D30-91,,Monday,3,1,1,150000,1,52:06.,,,4,North America,492,05:31:13.000Z,23.0769,0,00:00.,664747000,,A,2005,00:00.,1,California,5332921,Montagna-200 Argento [it],1,Sales,Mountain-100 Black,1,44,LB ,91706,PO609194739,,00:00.,International Security,295,C,,AW00000492,1,00:00.
Linda C Mitchell,Linda,TRUE,6,0.1497,100,12,WB-H098,2008,Van Nuys,4,December,1991,2,Bottles and Cages,F,28,2008,1,5.988,14:19:19.000Z,1.8663,Value Added Reseller,11,,Vendite professionali e di servizio,7,34.178305 -118.45858,477,,28,2.994,335,2007,Sales Representative,,582,,California,57251 Serene Blvd,United States,M,S ,Current,00:00.,1,Bancario Internazionale [it],CA,,Professional Sales and Service,00:00.,1,883-555-0116,US,Los Angeles County,4.99,3,US,282,Mitchell,Accessories,Q2,191644724,91411,800000,,5.988,4,0.479,4,4,0,5368381,3.7326,379,AWC logo water bottle - holds 30 oz; leak-proof.,linda3@adventur,1,4,0,Touring,United States,,49,747-555-0171,55:43.,SO58907-11,282,Van Nuys,dimreseller_businesstype_ja,,,2.994,SO58907,productname_zh_tw,,Southwest,International Bank [de],dimreseller_bankname_zh_cn,F365-4683-97,1.8663,Saturday,2,4,4,80000,1,19:19.,Water Bottle,,4,North America,582,15:55:43.000Z,23.0769,0,00:00.,610584000,,S,2007,00:00.,1,California,5332921,,2,Sales,Water Bottle - 30 oz.,1,14,,91411,PO19372175613,NA,00:00.,International Bank,379,C,NA,AW00000582,28,00:00.
Jillian  Carson,Jillian,,5,3.1496,100,11,SH-W890-L,2008,New Hartford,2,November,1998,3,Shorts,F,22,2008,1,125.982,03:25:03.000Z,26.1763,Warehouse,25,,Grandi magazzini alla moda,5,43.067169 -75.28767,476,,22,41.994,305,2007,Sales Representative,,233,,New York,7505 Commercial Dr.,United States,S,,Current,00:00.,1,Sicurezza Internazionale [it],NY,,Fashionable Department Stores,00:00.,1,517-555-0117,US,Oneida County,,,US,283,Carson,Clothing,Q2,615389812,13503,3000000,,125.982,2,10.0786,4,,,5129832,78.5289,521,,jillian0@advent,1,3,0,Mountain,United States,,44,618-555-0193,50:18.,SO57065-25,283,Utica,dimreseller_businesstype_ja,,,,SO57065,productname_zh_tw,,Northeast,International Sicherheit [de],dimreseller_bankname_zh_cn,B68A-407E-99,,Thursday,1,3,3,300000,1,25:03.,,,2,North America,233,02:50:18.000Z,23.0769,0,00:00.,606315000,,Q,2006,00:00.,1,New York,5128638,,2,Sales,Women's Mountain Shorts,1,52,,13413,PO11658151711,,00:00.,International Security,521,,,AW00000233,22,00:00.
Garrett R Vargas,Garrett,,5,33.6147,19,5,BK-R64Y-40,2008,Toronto,6,May,1982,2,Road Bikes,M,2,2008,1,1344.588,11:47:07.000Z,713.0798,Value Added Reseller,23,,Consolidato Messenger,5,,384,,2,672.294,122,2008,Sales Representative,CM ,552,,Ontario,25 Danger Street West,Canada,M,,Current,00:00.,2,Custode Della Banca [it],ON,Carretera-550-W Amarillo [es],Consolidated Messenger,00:00.,1,922-555-0165,CA,,,,,284,Vargas,Bikes,Q4,234474252,,300000,,1344.588,6,107.567,2,,,,1426.1596,94,,garrett1@advent,1,6,0,Road,Canada,Floor 7,18,244-555-0115,51:19.,SO69479-23,284,,dimreseller_businesstype_ja,,,,SO69479,productname_zh_tw,,Canada,Vormund Bank [de],dimreseller_bankname_zh_cn,3D8D-4908-A6,,Thursday,1,1,1,30000,1,47:07.,,,6,North America,552,17:51:19.000Z,23.0769,0,00:00.,626652000,,S,2007,00:00.,1,,,Strada-550-W Giallo [it],1,Sales,Road-550-W Yellow,1,8,LB ,M4B 1V5,PO18328116976,,00:00.,Guardian Bank,94,R,,AW00000552,2,00:00.
Jillian  Carson,Jillian,,5,10.1166,100,11,FR-R38B-52,2008,Columbus,2,November,1992,2,Road Frames,F,14,2008,1,404.664,21:18:31.000Z,204.6251,Warehouse,1,,Bike Boutique,5,39.965131 -83.00431,287,,14,202.332,305,2007,Sales Representative,CM ,666,,Ohio,Polaris Town Center,United States,S,,Current,00:00.,1,Bancario Internazionale [it],OH,LL Carretera Marco - Rojo [es],Bike Boutique,00:00.,1,517-555-0117,US,Franklin County,,,US,283,Carson,Components,Q2,615389812,43215,1500000,,404.664,2,32.3731,4,,,4512214,409.2502,526,,jillian0@advent,1,3,0,Road,United States,,44,916-555-0133,38:46.,SO57141-1,283,Columbus,dimreseller_businesstype_ja,,,,SO57141,productname_zh_tw,,Northeast,International Bank [de],dimreseller_bankname_zh_cn,5DE1-45D6-8B,,Thursday,1,2,2,150000,1,18:31.,,,2,North America,666,11:38:46.000Z,23.0769,0,00:00.,573615000,,Q,2006,00:00.,1,Ohio,5165418,LL Strada Telaio - Rosso [it],2,Sales,LL Road Frame - Black,1,49,LB ,43215,PO3625112721,,00:00.,International Bank,526,,,AW00000666,14,00:00.
Tsvi Michael Reiter,Tsvi,,5,16.1999,100,2,BK-M47B-44,2007,Gulfport,5,February,1999,1,Mountain Bikes,M,1,2007,1,647.994,03:34:47.000Z,598.4354,Warehouse,33,,eCommerce Bikes,5,30.380597 -89.09626,366,,1,647.994,32,2007,Sales Representative,CM ,566,,Mississippi,Gulfport Factory Shops,United States,M,,Current,00:00.,2,Custode Della Banca [it],MS,,eCommerce Bikes,00:00.,1,664-555-0112,US,Harrison County,,,US,285,Reiter,Bikes,Q3,716374314,39501,3000000,,647.994,5,51.8395,1,,,4429197,598.4354,489,,tsvi0@adventure,1,5,0,Mountain,United States,,5,695-555-0111,48:05.,SO49149-33,285,Gulfport,dimreseller_businesstype_ja,,,,SO49149,productname_zh_tw,,Southeast,Vormund Bank [de],dimreseller_bankname_zh_cn,D41E-4EFF-A5,,Thursday,,1,1,300000,1,34:47.,,,5,North America,566,19:48:05.000Z,23.0769,0,00:00.,576798000,,Q,2005,00:00.,1,Mississippi,4436296,,1,Sales,Mountain-300 Black,1,58,LB ,39501,PO5858123072,,00:00.,Guardian Bank,489,Michael,,AW00000566,1,00:00.
Stephen Y Jiang,Stephen,,4,16.3841,100,4,FR-M63S-46,2008,Orlando,5,April,1988,3,Mountain Frames,M,12,2008,1,655.362,23:15:33.000Z,199.3757,Value Added Reseller,2,,Valuable Bike Parts Societ??,3,28.577723 -81.3931,513,,12,218.454,92,2008,North American Sales Manager,CM ,530,,Florida,Belz Factory Outlet,United States,M,,Current,00:00.,2,Primaria Banca e Riserva [it],FL,ML Monta?a Marco-W - Plata [es],Valuable Bike Parts Company,00:00.,1,238-555-0197,US,Orange County,,,US,272,Jiang,Components,Q4,502097814,32804,800000,,655.362,5,52.429,2,,,4167060,598.1271,411,,stephen0@advent,1,11,0,Mountain,United States,,14,430-555-0121,21:37.,SO67277-2,272,Fairview Shores,dimreseller_businesstype_ja,,,,SO67277,productname_zh_tw,,Southeast,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,9AB3-4F34-85,,Tuesday,1,2,2,80000,1,15:33.,,,5,North America,530,03:21:37.000Z,48.101,0,00:00.,619564000,,S,2006,00:00.,1,Florida,4155751,LL Montagna Sedile/Sella [it],1,Sales,ML Mountain Frame-W - Silver,1,16,LB ,32804,PO12644174121,,00:00.,Primary Bank & Reserve,411,Y,,AW00000530,12,00:00.
Linda C Mitchell,Linda,TRUE,5,1.6887,100,5,HB-M763,2008,Gilroy,4,May,1987,2,Handlebars,F,4,2007,1,67.549,05:02:54.000Z,24.9932,Value Added Reseller,15,7/1/2006 0:00,Giocattoli robuste,3,37.016943 -121.56581,399,6/30/2007 0:00,4,33.7745,121,2007,Sales Representative,,385,,California,Pacific West Outlet,United States,M,M ,Current,00:00.,2,Riserva di Sicurezza [it],CA,,Sturdy Toys,00:00.,1,883-555-0116,US,Santa Clara County,56.2909,375,US,282,Mitchell,Components,Q4,191644724,95021,300000,,67.549,4,5.4039,2,500,1,5393021,49.9864,324,Tough aluminum alloy bars for downhill.,linda3@adventur,1,4,0,Mountain,United States,,18,330-555-0116,58:00.,SO50301-15,282,Gilroy,dimreseller_businesstype_ja,,M ,33.7745,SO50301,productname_zh_tw,,Southwest,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,94B2-4C2F-8C,24.9932,Tuesday,1,2,2,30000,1,02:54.,ML Mountain Handlebars,,4,North America,385,02:58:00.000Z,23.0769,0,00:00.,597306000,,S,2005,00:00.,1,California,5332921,,1,Sales,ML Mountain Handlebars,1,7,,95020,PO5684190027,NA,00:00.,Reserve Security,324,C,NA,AW00000385,4,00:00.
Garrett R Vargas,Garrett,,5,4.4994,19,8,TG-W091-S,2008,Toronto,6,August,2001,4,Tights,M,24,2007,1,179.976,14:34:42.000Z,30.9334,Specialty Bike Shop,4,,Ciclo negozio senza benzina,3,,456,,24,44.994,213,2006,Sales Representative,,210,"After many attempts to acquire the proper frame size, and color, I did ultimately get the Yellow Panda 10speed I had been always wanted in size 48. There really is no other bike I'd want, and so glad Tsvi was able to get it for me. It goes great with my racing socks.",Ontario,25 First Canadian Place,Canada,M,,Current,00:00.,1,Riserva di Sicurezza [it],ON,,Gasless Cycle Shop,00:00.,1,922-555-0165,CA,,,,,284,Vargas,Clothing,Q1,234474252,,1000000,,179.976,6,14.3981,3,,,,123.7336,94,,garrett1@advent,1,6,0,Road,Canada,,31,584-555-0192,26:15.,SO46936-4,284,,dimreseller_businesstype_ja,,,,SO46936,productname_zh_tw,,Canada,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,95A0-4327-AA,,Tuesday,,3,3,100000,1,34:42.,,,6,North America,210,18:26:15.000Z,23.0769,0,00:00.,618693000,,A,2005,00:00.,1,,,,2,Sales,Women's Tights,1,29,,M4B 1V5,PO19227121833,,00:00.,Reserve Security,94,R,,AW00000210,24,00:00.
Linda C Mitchell,Linda,,5,2.5233,100,2,HL-U509,2007,Ontario,4,February,1977,5,Helmets,F,31,2007,1,100.9325,23:55:21.000Z,13.8782,Warehouse,22,,Biciclette preferiti,5,34.077327 -117.6222,216,,31,20.1865,32,2007,Sales Representative,,78,,California,Incom Sports Center,United States,M,,Current,00:00.,2,Bancario Internazionale [it],CA,AWC Logo Tapa [es],Preferred Bikes,00:00.,1,883-555-0116,US,San Bernardino County,,,US,282,Mitchell,Accessories,Q3,191644724,91762,3000000,,100.9325,4,8.0746,1,,,5391726,69.391,349,,linda3@adventur,1,4,0,Road,United States,,5,819-555-0186,01:51.,SO49058-22,282,Ontario,dimreseller_businesstype_ja,,,,SO49058,productname_zh_tw,,Southwest,International Bank [de],dimreseller_bankname_zh_cn,BD1B-4C7F-A9,,Thursday,,4,4,300000,1,55:21.,,,4,North America,78,10:01:51.000Z,23.0769,0,00:00.,554790000,,Q,2005,00:00.,1,California,5332921,AWC Logo Berretto [it],1,Sales,Sport-100 Helmet,1,91,,91764,PO12499147561,,00:00.,International Bank,349,C,,AW00000078,31,00:00.
Jillian  Carson,Jillian,TRUE,5,1.2144,100,2,CH-0234,2008,Zeeland,3,February,1999,4,Chains,F,7,2008,1,48.576,19:11:31.000Z,8.9866,Warehouse,13,7/1/2007 0:00,Catalogo Negozio,6,42.829252 -85.99621,559,,7,12.144,32,2008,Sales Representative,,18,,Michigan,855 East Main Avenue,United States,S,,Current,00:00.,2,Uniti Sicurezza [it],MI,,Catalog Store,00:00.,1,517-555-0117,US,Ottawa County,20.24,375,US,283,Carson,Components,Q3,615389812,49464,3000000,,48.576,3,3.8861,1,500,1,5004681,35.9464,474,Superior shifting performance.,jillian0@advent,1,3,0,Mountain,United States,,6,440-555-0132,32:48.,SO63123-13,283,Zeeland,dimreseller_businesstype_ja,Current,,12.144,SO63123,productname_zh_tw,,Central,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,ADA9-4CA6-94,8.9866,Friday,2,2,2,300000,1,11:31.,Chain,,3,North America,18,07:32:48.000Z,23.0769,0,00:00.,649277000,,Q,2005,00:00.,1,Michigan,5001836,,1,Sales,Chain,1,55,,49464,PO19923184888,NA,00:00.,United Security,474,,Silver,AW00000018,7,00:00.
Garrett R Vargas,Garrett,,5,21.8699,19,8,BK-R68R-58,2008,Etobicoke,6,August,1974,1,Road Bikes,M,2,2006,1,874.794,15:53:33.000Z,884.7083,Warehouse,6,,Premiare le attivit?? aziendali,2,,315,,2,874.794,213,2005,Sales Representative,CM ,84,,Ontario,25575 The Queensway,Canada,M,,Current,00:00.,1,Riserva di Sicurezza [it],ON,,Rewarding Activities Company,00:00.,1,922-555-0165,CA,,,,,284,Vargas,Bikes,Q1,234474252,,3000000,,874.794,6,69.9835,3,,,,884.7083,78,,garrett1@advent,1,6,0,Road,Canada,,31,752-555-0185,18:31.,SO43898-6,284,,dimreseller_businesstype_ja,,,,SO43898,productname_zh_tw,,Canada,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,420C-4ECE-85,,Monday,2,1,1,300000,1,53:33.,,,6,North America,84,13:18:31.000Z,23.0769,0,00:00.,595498000,,Q,2005,00:00.,1,,,,2,Sales,Road-450 Red,1,93,LB ,M9W 3P3,PO4901196283,,00:00.,Reserve Security,78,R,,AW00000084,2,00:00.
Amy E Alberts,Amy,,5,48.5996,98,8,BK-M47B-48,2007,Berks,10,August,1992,3,Mountain Bikes,F,1,2007,1,1943.982,17:26:32.000Z,598.4354,Warehouse,36,,Downhill biciclette Specialisti,3,,367,,1,647.994,213,2006,European Sales Manager,CM ,484,,England,725a The Arches,United Kingdom,M,,Current,00:00.,1,Bancario Internazionale [it],ENG,,Downhill Bicycle Specialists,00:00.,1,775-555-0164,GB,,,,,290,Alberts,Bikes,Q1,982310417,,3000000,,1943.982,10,155.5186,3,,,,1795.3062,229,,amy0@adventure-,1,11,0,Mountain,United Kingdom,,31,1 (11) 500 555-0199,25:56.,SO47004-36,290,,dimreseller_businesstype_ja,,,,SO47004,productname_zh_tw,,United Kingdom,International Bank [de],dimreseller_bankname_zh_cn,BB9D-49AE-A9,,Tuesday,,1,1,300000,1,26:32.,,,10,Europe,484,20:25:56.000Z,48.101,0,00:00.,615564000,,Q,2006,00:00.,1,,,,2,Sales,Mountain-300 Black,1,81,LB ,SL4 1RH,PO928175019,,00:00.,International Bank,229,E,,AW00000484,1,00:00.
Rachel B Valdez,Rachel,,4,6.9609,36,4,HL-U509-B,2008,Offenbach,8,April,1974,14,Helmets,F,31,2008,1,284.1188,16:43:37.000Z,13.0863,Warehouse,37,,Ciclo Miglior Negozio,3,,222,,31,20.2942,92,2008,Sales Representative,,302,,Saarland,Berliner Platz 45,Germany,S,,Current,00:00.,2,Bancario Internazionale [it],SL,AWC Logo Tapa [es],Best Cycle Store,00:00.,1,1 (11) 500 555-,DE,,,,,295,Valdez,Accessories,Q4,954276278,,3000000,,278.4364,8,22.2749,2,,,,183.2082,172,,rachel0@adventu,1,8,5.6824,Touring,Germany,,14,1 (11) 500 555-0178,09:46.,SO67278-37,295,,dimreseller_businesstype_ja,,,,SO67278,productname_zh_tw,,Germany,International Bank [de],dimreseller_bankname_zh_cn,22C9-42E1-BC,,Tuesday,,4,4,300000,1,43:37.,,,8,Europe,302,19:09:46.000Z,23.0769,0.02,00:00.,613569000,,Q,2007,00:00.,1,,,AWC Logo Berretto [it],1,Sales,Sport-100 Helmet,2,93,,63009,PO12441152483,,00:00.,International Bank,172,B,,AW00000302,31,00:00.
Michael G Blythe,Michael,,4,36.6503,100,7,BK-R89B-48,2008,Austin,4,July,1976,1,Road Bikes,M,2,2008,1,1466.01,17:21:54.000Z,1554.9479,Value Added Reseller,24,,Impianti a ciclo modulari,1,30.27127 -97.74103,376,,2,1466.01,182,2007,Sales Representative,CM ,4,,Texas,800 Interchange Blvd.,United States,S,,Current,00:00.,1,Uniti Sicurezza [it],TX,,Modular Cycle Systems,00:00.,1,257-555-0154,US,Travis County,,,US,281,Blythe,Bikes,Q1,841560125,78701,300000,600,1466.01,4,117.2808,3,,,4737316,1554.9479,572,,michael9@advent,1,2,0,Road,United States,Suite 2501,27,710-555-0173,01:05.,SO51122-24,281,Austin,dimreseller_businesstype_ja,,,,SO51122,productname_zh_tw,,Southwest,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,D915-4225-97,,Sunday,3,1,1,30000,1,21:54.,,,4,North America,4,13:01:05.000Z,23.0769,0,00:00.,589151000,,S,2006,00:00.,1,Texas,4736286,,2,Sales,Road-250 Black,1,5,LB ,78701,PO551181465,,00:00.,United Security,572,G,,AW00000004,2,00:00.
Jos Edvaldo Saraiva,Jos,,4,3.7469,98,10,FR-M21B-44,2008,Milton Keynes,10,October,1974,1,Mountain Frames,M,12,2008,1,149.874,01:21:20.000Z,136.785,Warehouse,29,,Mostra Showroom,2,,532,,12,149.874,274,2007,Sales Representative,CM ,196,,England,"Garamonde Drive, Wymbush",United Kingdom,M,,Current,00:00.,1,Riserva di Sicurezza [it],ENG,LL Monta?a Marco - Negro [es],Exhibition Showroom,00:00.,1,185-555-0169,GB,,,,,288,Saraiva,Components,Q2,399771412,,3000000,1000,149.874,10,11.9899,4,,,,136.785,260,,jos?adventure,1,6,0,Mountain,United Kingdom,P.O. Box 803,40,1 (11) 500 555-0126,26:55.,SO55268-29,288,,dimreseller_businesstype_ja,,,,SO55268,productname_zh_tw,,United Kingdom,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,47E6-44B3-A4,,Monday,3,2,2,300000,1,21:20.,,,10,Europe,196,02:26:55.000Z,23.0769,0,00:00.,608735000,,Q,2007,00:00.,1,,,LL Montagna Pneumatico [it],2,Sales,LL Mountain Frame - Black,1,94,LB ,MK8 8ZD,PO10324191521,,00:00.,Reserve Security,260,Edvaldo,,AW00000196,12,00:00.
